City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,sudogda,55.9539,40.8629,14.46,97,7,1.7,RU,1722976325
313,thoen,17.6129,99.2161,23.75,98,100,0.93,TH,1722976325
314,salahonda,2.1019,-78.7217,25.96,81,31,5.52,CO,1722976325
315,iskateley,67.6803,53.1512,5.95,84,14,3.51,RU,1722976325
316,tapejara,-28.0681,-52.0139,24.21,79,62,1.28,BR,1722976325
317,tipasa,36.5897,2.4475,28.97,50,10,0.96,DZ,1722976326
318,santana,-0.0583,-51.1817,32.1,62,20,1.54,BR,1722976326
319,nahiyat ash shinafiyah,31.5874,44.6602,36.8,12,1,3.95,IQ,1722976326
320,aasiaat,68.7098,-52.8699,3.9,95,73,2.92,GL,1722976326
321,laguna,38.421,-121.4238,37.95,30,0,3.09,US,1722976326
322,pacific grove,36.6177,-121.9166,27.43,81,20,2.06,US,1722976326
323,wellington,-41.2866,174.7756,7.81,89,20,5.14,NZ,1722976326
324,kolonia,50.9333,6.95,25.53,73,0,2.06,DE,1722976156
325,gopalpur,19.2667,84.9167,25.51,93,100,3.86,IN,1722976326
326,palikir - national government center,6.9248,158.1611,24.41,94,75,1.54,FM,1722976326
327,kilindoni,-7.9139,39.6668,25.3,78,46,7.18,TZ,1722976326
328,ponta delgada,37.7333,-25.6667,25.4,78,20,7.72,PT,1722976327
329,lufilufi,-13.8745,-171.5986,24.88,83,59,7.47,WS,1722976327
330,porlamar,10.958,-63.8491,37.05,49,3,6.17,VE,1722976327
331,nha trang,12.25,109.1833,26.0,81,54,1.33,VN,1722976327
332,paita,-5.0892,-81.1144,20.4,70,7,9.88,PE,1722976327
333,angaur state,6.906,134.13,28.82,76,100,5.12,PW,1722976327
334,villa dolores,-31.9459,-65.1896,13.16,66,63,9.92,AR,1722976327
335,labrador city,52.9463,-66.9114,9.95,76,75,5.66,CA,1722976327
336,tolanaro,-25.0319,46.9987,21.04,88,75,5.14,MG,1722976327
337,san patricio,28.017,-97.5169,35.3,34,9,2.62,US,1722976327
338,mahina,-17.5065,-149.489,28.87,65,20,8.23,PF,1722976328
339,margate,51.3813,1.3862,18.82,74,100,5.41,GB,1722976328
340,quirihue,-36.2833,-72.5333,7.76,77,42,2.95,CL,1722976328
341,siocon,7.7061,122.1353,25.95,91,100,3.38,PH,1722976328
342,melfort,52.8667,-104.6177,14.07,88,100,4.12,CA,1722976328
343,whitehorse,60.7161,-135.0538,25.61,29,0,7.2,CA,1722975893
344,hovd,48.0056,91.6419,17.57,39,48,0.66,MN,1722976328
345,hilo,19.7297,-155.09,28.86,71,0,3.09,US,1722976207
346,nakhon thai,17.1006,100.8374,23.39,99,100,1.52,TH,1722976328
347,floro,61.5996,5.0328,19.04,88,100,2.06,NO,1722976328
348,bintulu,3.1667,113.0333,25.23,100,20,1.03,MY,1722976329
349,praia da vitoria,38.7333,-27.0667,25.14,78,40,3.69,PT,1722976329
350,hobyo,5.3505,48.5268,24.74,85,32,11.37,SO,1722976329
351,yugorsk,61.3133,63.3319,12.95,68,100,3.43,RU,1722976329
352,amuntai,-2.4177,115.2494,22.98,99,100,0.22,ID,1722976329
353,lazaro cardenas,17.9583,-102.2,30.99,61,78,4.4,MX,1722976329
354,san luis,-33.295,-66.3356,10.42,49,82,5.92,AR,1722976245
355,klaksvik,62.2266,-6.589,12.51,91,71,8.46,FO,1722976329
356,utrik,11.2278,169.8474,28.36,78,89,5.42,MH,1722976329
357,khash,28.2211,61.2158,27.07,59,100,1.32,IR,1722976329
358,skopin,53.8249,39.5505,16.54,83,0,1.7,RU,1722976329
359,kirakira,-10.4544,161.9205,26.29,83,85,5.55,SB,1722976330
